id,listing_url,name,picture_url,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people
22388131,https://www.airbnb.com/rooms/22388131,Well appointed private cottage with full kitchen,https://a0.muscache.com/im/pictures/20aaaccc-6692-4d14-9377-038a6eaf7ff7.jpg?aki_policy=large,Bayview,94124,37.73459,-122.39238,Guesthouse,Entire home/apt,2,1,0,1,$100.00 ,,,$750.00 ,$150.00 ,2,$0.00 
22396454,https://www.airbnb.com/rooms/22396454,Condo in Hayes Valley w Private Balcony,https://a0.muscache.com/im/pictures/9fce656a-8359-4a06-b32f-50d3541fa01f.jpg?aki_policy=large,Downtown/Civic Center,94102,37.77541,-122.42147,Condominium,Entire home/apt,2,1,1,1,$165.00 ,,,$500.00 ,$100.00 ,1,$0.00 
22396902,https://www.airbnb.com/rooms/22396902,"Charming Room, ""The Library"" in Duboce Triangle",https://a0.muscache.com/im/pictures/249a1090-c54d-40e8-b872-aa52c63e6d8b.jpg?aki_policy=large,Castro/Upper Market,94114,37.76859,-122.43348,Apartment,Private room,2,1.5,1,1,$75.00 ,,,,,1,$0.00 
22402266,https://www.airbnb.com/rooms/22402266,Sunny Flat by Ocean Beach w/Free Prkg & Laundry!,https://a0.muscache.com/im/pictures/0405bbf4-3aa7-47c7-a367-064ff8c17bfa.jpg?aki_policy=large,Parkside,94116,37.74582,-122.4885,Apartment,Entire home/apt,6,1,1,3,$89.00 ,,,$100.00 ,$40.00 ,3,$5.00 
22403752,https://www.airbnb.com/rooms/22403752,BEAUTIFUL SPACIOUS  PRESIDIO HEIGHTS GARDEN SUITE,https://a0.muscache.com/im/pictures/8ce9fe8c-2beb-4cbd-8aac-5177d9baddfc.jpg?aki_policy=large,Inner Richmond,94118,37.78362,-122.47229,Apartment,Entire home/apt,2,1,1,2,$98.00 ,,,$0.00 ,$150.00 ,2,$55.00 
22410367,https://www.airbnb.com/rooms/22410367,One bedroom apt by Alamo Square. F3,https://a0.muscache.com/im/pictures/4abf6d4c-83a8-4310-94c7-27a9c7dce16f.jpg?aki_policy=large,Western Addition,94117,37.77613,-122.43261,Apartment,Entire home/apt,4,1,1,3,$100.00 ,,,$400.00 ,$0.00 ,1,$0.00 
22430481,https://www.airbnb.com/rooms/22430481,Sparkling Sunset Oasis - Park/Beach/Train/Gigabit,https://a0.muscache.com/im/pictures/53fdac52-4ac0-442c-8006-1020b8c1e397.jpg?aki_policy=large,Outer Sunset,94122,37.75851,-122.49693,Apartment,Entire home/apt,2,1,0,1,$135.00 ,,,$500.00 ,$109.00 ,2,$30.00 
22435235,https://www.airbnb.com/rooms/22435235,Castro 4bd/2ba flat all yours,https://a0.muscache.com/im/pictures/96636ecc-a8e4-42d0-b185-39ae621ea37e.jpg?aki_policy=large,Castro/Upper Market,94114,37.7656,-122.43386,Apartment,Entire home/apt,8,2,4,4,$485.00 ,,,$350.00 ,$195.00 ,1,$0.00 
22435673,https://www.airbnb.com/rooms/22435673,"Furnished luxury 5 bed, back yard, private parking",https://a0.muscache.com/im/pictures/483017bf-3869-43ea-986e-3134dc0ea97d.jpg?aki_policy=large,Mission,94110,37.75934,-122.41925,House,Entire home/apt,8,3.5,5,5,$481.00 ,,,"$5,000.00 ",$500.00 ,1,$0.00 
22439992,https://www.airbnb.com/rooms/22439992,New 1 BRM Garden Apartment w/Free Parking_30+Days,https://a0.muscache.com/im/pictures/03cdd940-dbcc-4170-a06c-650dbb5119e1.jpg?aki_policy=large,Outer Sunset,94116,37.75025,-122.5012,Guest suite,Entire home/apt,4,1,1,3,$138.00 ,,,$150.00 ,$100.00 ,2,$18.00 
22442723,https://www.airbnb.com/rooms/22442723,Sunny Union Square,https://a0.muscache.com/im/pictures/36a42116-d25d-4145-a9a3-56a61e425306.jpg?aki_policy=large,Downtown/Civic Center,94108,37.78796,-122.40949,Apartment,Private room,2,1,1,1,$50.00 ,,,$100.00 ,$100.00 ,1,$20.00 
22451978,https://www.airbnb.com/rooms/22451978,Cow Hollow Studio,https://a0.muscache.com/im/pictures/4373e609-add7-4635-ab15-4c532ddf2afb.jpg?aki_policy=large,Marina,94123,37.79879,-122.42974,House,Entire home/apt,2,1,0,1,$135.00 ,,,$0.00 ,$100.00 ,1,$0.00 
22453044,https://www.airbnb.com/rooms/22453044,Charming Remodeled Downtown Studio,https://a0.muscache.com/im/pictures/e1928d2e-95aa-435d-bba2-af2945d1ad17.jpg?aki_policy=large,Downtown/Civic Center,94109,37.78594,-122.41444,Apartment,Entire home/apt,2,1,0,1,$79.00 ,,,"$1,000.00 ",$95.00 ,1,$0.00 
22468462,https://www.airbnb.com/rooms/22468462,Sunny Cozy Private Rm,https://a0.muscache.com/im/pictures/e684cb39-e44c-4cfd-951b-41baa051b6c3.jpg?aki_policy=large,Outer Mission,94112,37.71127,-122.45157,House,Private room,1,1,1,1,$50.00 ,,,$100.00 ,$28.00 ,1,$20.00 
22468877,https://www.airbnb.com/rooms/22468877,Charming One Bedroom in Noe Valley,https://a0.muscache.com/im/pictures/f86176ff-76f2-4e5f-8f39-f3bfa900effb.jpg?aki_policy=large,Noe Valley,94114,37.74861,-122.42767,Apartment,Entire home/apt,4,1,1,2,$105.00 ,,,,,1,$0.00 
22469468,https://www.airbnb.com/rooms/22469468,Cozy Private Guest Suite w/ Full Bath & Deck in SF,https://a0.muscache.com/im/pictures/30bf08ca-797c-4aeb-8328-9630a703bf79.jpg?aki_policy=large,Visitacion Valley,94134,37.72189,-122.4037,Guest suite,Private room,2,1,1,1,$90.00 ,,,$150.00 ,$60.00 ,1,$20.00 
22478127,https://www.airbnb.com/rooms/22478127,New modern two bedroom in-law unit,https://a0.muscache.com/im/pictures/34604727-7635-4fad-99c5-49de5f41e081.jpg?aki_policy=large,Outer Sunset,94116,37.74966,-122.48923,Other,Entire home/apt,4,1,2,2,$159.00 ,,,$250.00 ,$60.00 ,4,$10.00 
22487945,https://www.airbnb.com/rooms/22487945,Cozy private room in Sunset District,https://a0.muscache.com/im/pictures/82ed5dcc-453b-42af-ae3b-4fb6fe127080.jpg?aki_policy=large,Outer Sunset,94116,37.74873,-122.48984,House,Private room,2,1,1,1,$74.00 ,,,$250.00 ,$35.00 ,2,$15.00 
